순위,가수명,곡명
1,비비 (BIBI),밤양갱
2,아이유,Love wins all
3,TWS (투어스),첫 만남은 계획대로 되지 않아
4,태연 (TAEYEON),To. X
5,아이유,홀씨
6,임재현,비의 랩소디
7,LE SSERAFIM (르세라핌),EASY
8,RIIZE,Love 119
9,아이유,Shopper
10,LE SSERAFIM (르세라핌),Perfect Night
11,이무진,에피소드
12,너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
13,aespa,Drama
14,박재정,헤어지자 말해요
15,(여자)아이들,Super Lady
16,(여자)아이들,Wife
17,범진,인사
18,임영웅,사랑은 늘 도망가
19,태연 (TAEYEON),꿈
20,정국,Seven (feat. Latto) - Clean Ver.
21,(여자)아이들,나는 아픈 건 딱 질색이니까
22,IVE (아이브),I AM
23,VIVIZ (비비지),MANIAC
24,임영웅,모래 알갱이
25,임영웅,우리들의 블루스
26,RIIZE,Get A Guitar
27,임영웅,Do or Die
28,AKMU (악뮤),Love Lee
29,임영웅,다시 만날 수 있을까
30,성시경,너의 모든 순간
31,IVE (아이브),Baddie
32,임영웅,이제 나만 믿어요
33,DAY6 (데이식스),예뻤어
34,우디 (Woody),사막에서 꽃을 피우듯
35,임영웅,무지개
36,제니 (JENNIE),You & Me
37,아이유,관객이 될게 (I stan U)
38,DAY6 (데이식스),한 페이지가 될 수 있게
39,(여자)아이들,퀸카 (Queencard)
40,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
41,임영웅,London Boy
42,NewJeans,Super Shy
43,NewJeans,Hype Boy
44,아이유,"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)"
45,임영웅,아버지
46,임영웅,Polaroid
47,NewJeans,Ditto
48,AKMU (악뮤),후라이의 꿈
49,임영웅,인생찬가
50,멜로망스,사랑인가 봐
51,NewJeans,ETA
52,이창섭,천상연
53,임영웅,A bientot
54,윤하 (YOUNHA),사건의 지평선
55,정국,Standing Next to You
56,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
57,볼빨간사춘기,사랑할 수밖에
58,화곡동 청개구리,기억해줘요 내 모든 날과 그때를
59,그루비룸 (GroovyRoom),"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)"
60,임한별,사랑하지 않아서 그랬어
61,김민석,취중고백
62,aespa,Spicy
63,순순희(기태),그대가 내 안에 박혔다(그내박)
64,DK(디셈버),심(心)
65,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
66,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
67,임영웅,연애편지
68,방탄소년단,Dynamite
69,Charlie Puth,I Don't Think That I Like Her
70,방탄소년단,봄날
71,IVE (아이브),LOVE DIVE
72,디오 (D.O.),별 떨어진다 (I Do)
73,세븐틴 (SEVENTEEN),손오공
74,EXO,첫 눈
75,지아,사랑..그게 뭔데
76,#안녕,해요 (2022)
77,잔나비,주저하는 연인들을 위해
78,IVE (아이브),Kitsch
79,세븐틴 (SEVENTEEN),음악의 신
80,Lauv,Steal The Show (From “엘리멘탈”)
81,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
82,로이킴,"그대가 있는 곳, 언제 어디든"
83,IVE (아이브),After LIKE
84,허각,물론
85,"경서예지, 전건호",다정히 내 이름을 부르면
86,QWER,Discord
87,NewJeans,OMG
88,Charlie Puth,Dangerously
89,전소미,Fast Forward
90,김호중,그중에 그대를 만나
91,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
92,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
93,NewJeans,Attention
94,방탄소년단,Butter
95,"다이나믹 듀오, 이영지","Smoke (Prod. Dynamicduo, Padi)"
96,PLAVE,Merry PLLIstmas
97,안세하,I Love You
98,STAYC(스테이씨),Bubble
99,PLAVE,여섯 번째 여름
100,탑현,나에게 그대만이
